fips,county,state,uninsured_population,total_population,hospital_count,uninsured_rate,hospitals_per_100k,uninsured_z,hospitals_z,access_risk_score,estimated_patient_load,priority_score,priority_rank,risk_tier
48237,Jack,TX,2533,8032,0,31.536354581673308,0.0,3.4716388800608193,-0.6963150673878609,4.16795394744868,803.2,2.508804368469208,1,Critical
12051,Hendry,FL,2459,7860,0,31.284987277353686,0.0,3.4252744906999686,-0.6963150673878609,4.1215895580878295,786.0,2.4808137348526977,2,Critical
48025,Bee,TX,821,2639,0,31.110269041303525,0.0,3.3930479274776877,-0.6963150673878609,4.0893629948655486,263.90000000000003,2.456256796919329,4,Critical
48179,Gray,TX,3836,12356,0,31.045645840077697,0.0,3.381128257688139,-0.6963150673878609,4.0774433250760005,1235.6000000000001,2.4588219950456,3,Critical
48365,Panola,TX,3450,11197,0,30.811824595873894,0.0,3.3380002174824055,-0.6963150673878609,4.034315284870266,1119.7,2.4317861709221598,5,Critical
13071,Colquitt,GA,4038,13311,0,30.335812485913905,0.0,3.250200370694845,-0.6963150673878609,3.946515438082706,1331.1000000000001,2.3812202628496233,6,Critical
02050,Bethel,AK,2882,9733,0,29.61060310284599,0.0,3.1164363941279114,-0.6963150673878609,3.8127514615157723,973.3000000000001,2.2973838769094637,7,Critical
12079,Madison,FL,2993,10125,0,29.560493827160496,0.0,3.1071938000094725,-0.6963150673878609,3.8035088673973334,1012.5,2.2922303204384,8,Critical
13309,Wheeler,GA,2528,8622,0,29.32034330781721,0.0,3.062898332807881,-0.6963150673878609,3.759213400195742,862.2,2.264150040117445,9,Critical
48353,Nolan,TX,2196,7827,0,28.056726715216556,0.0,2.8298258102666325,-0.6963150673878609,3.5261408776544934,782.7,2.123511526592696,10,Critical
48189,Hale,TX,1619,5818,0,27.82743210725335,0.0,2.7875327025344045,-0.6963150673878609,3.4838477699222654,581.8000000000001,2.096126661953359,12,Critical
28151,Washington,MS,3668,13199,0,27.78998408970377,0.0,2.7806254618685573,-0.6963150673878609,3.476940529256418,1319.9,2.099363317553851,11,Critical
40003,Alfalfa,OK,876,3168,0,27.65151515151515,0.0,2.755085036943614,-0.6963150673878609,3.451400104331475,316.8,2.074008062598885,13,Critical
28051,Holmes,MS,889,3237,0,27.463700957676863,0.0,2.7204429404538493,-0.6963150673878609,3.41675800784171,323.70000000000005,2.053291804705026,14,Critical
28125,Sharkey,MS,253,925,0,27.35135135135135,0.0,2.6997201940874764,-0.6963150673878609,3.3960352614753373,92.5,2.0385461568852024,16,Critical
48311,McMullen,TX,3851,14091,0,27.329501099992903,0.0,2.6956899421644684,-0.6963150673878609,3.3920050095523293,1409.1000000000001,2.0492940057313977,15,Critical
48213,Henderson,TX,3248,11924,0,27.239181482723918,0.0,2.6790306001179087,-0.6963150673878609,3.3753456675057696,1192.4,2.0371314005034615,17,Critical
48469,Victoria,TX,1231,4521,0,27.228489272284897,0.0,2.6770584350852893,-0.6963150673878609,3.37337350247315,452.1,2.02854510148389,18,Critical
28035,Forrest,MS,3721,13729,0,27.103212178600046,0.0,2.653951229614308,-0.6963150673878609,3.350266297002169,1372.9,2.0238887782013015,19,Critical
35039,Rio Arriba,NM,3731,13824,0,26.98929398148148,0.0,2.632939158610136,-0.6963150673878609,3.329254225997997,1382.4,2.011376535598798,20,Critical
28127,Simpson,MS,1470,5467,0,26.888604353393085,0.0,2.6143670808535413,-0.6963150673878609,3.310682148241402,546.7,1.9918762889448414,21,Critical
13269,Taylor,GA,1720,6437,0,26.720521982289885,0.0,2.5833644947391017,-0.6963150673878609,3.2796795621269625,643.7,1.9742447372761776,22,Critical
48069,Castro,TX,1546,5788,0,26.710435383552177,0.0,2.5815040340381064,-0.6963150673878609,3.277819101425967,578.8000000000001,1.9724794608555802,24,Critical
02020,Anchorage,AK,2154,8078,0,26.665016093092348,0.0,2.573126501912069,-0.6963150673878609,3.26944156929993,807.8000000000001,1.9697429415799579,25,Critical
48411,San Saba,TX,3861,14496,0,26.634933774834437,0.0,2.5675778553991027,-0.6963150673878609,3.2638929227869635,1449.6000000000001,1.972831753672178,23,Critical
48197,Hardeman,TX,1874,7070,0,26.506364922206505,0.0,2.543863489049613,-0.6963150673878609,3.2401785564374737,707.0,1.951177133862484,27,Critical
48103,Crane,TX,3882,14664,0,26.472995090016365,0.0,2.5377084646451555,-0.6963150673878609,3.2340235320330164,1466.4,1.9550781192198097,26,Critical
48101,Cottle,TX,999,3796,0,26.31717597471022,0.0,2.508967820942619,-0.6963150673878609,3.20528288833048,379.6,1.9269657329982877,29,Critical
13037,Calhoun,GA,574,2194,0,26.162260711030083,0.0,2.480393891558104,-0.6963150673878609,3.176708958945965,219.4,1.908219375367579,30,Critical
48501,Yoakum,TX,1712,6586,0,25.9945338597024,0.0,2.449456880627924,-0.6963150673878609,3.145771948015785,658.6,1.8940491688094707,31,Critical
13275,Thomas,GA,1356,5223,0,25.962090752441124,0.0,2.443472789493999,-0.6963150673878609,3.13978785688186,522.3000000000001,1.8890957141291158,32,Critical
13145,Harris,GA,1599,6216,0,25.723938223938227,0.0,2.3995458492395123,-0.6963150673878609,3.095860916627373,621.6,1.863732549976424,34,Critical
48105,Crockett,TX,2270,8851,0,25.64681956841035,0.0,2.3853214083101015,-0.6963150673878609,3.0816364756979624,885.1,1.8578328854187773,35,Critical
48223,Hopkins,TX,2035,8006,0,25.418436172870347,0.0,2.343196372585862,-0.6963150673878609,3.039511439973723,800.6,1.8317128639842335,38,Critical
40045,Ellis,OK,2555,10055,0,25.410243659870712,0.0,2.3416852736639595,-0.6963150673878609,3.0380003410518204,1005.5,1.832855204631092,37,Critical
28081,Lee,MS,3480,13704,0,25.39404553415061,0.0,2.3386975493462105,-0.6963150673878609,3.0350126167340714,1370.4,1.8347115700404426,36,Critical
35037,Quay,NM,3299,13010,0,25.357417371252883,0.0,2.331941529860066,-0.6963150673878609,3.028256597247927,1301.0,1.8299639583487561,39,Critical
48005,Angelina,TX,2316,9179,0,25.231506700076263,0.0,2.3087174618018915,-0.6963150673878609,3.0050325291897524,917.9000000000001,1.8121985175138513,40,Critical
48305,Lynn,TX,2215,8799,0,25.1733151494488,0.0,2.2979841020353695,-0.6963150673878609,2.9942991694232304,879.9000000000001,1.805378501653938,41,Critical
28015,Carroll,MS,1349,5359,0,25.172606829632393,0.0,2.2978534533185493,-0.6963150673878609,2.99416852070641,535.9,1.801860112423846,42,Critical
28117,Prentiss,MS,1338,5324,0,25.131480090157776,0.0,2.290267676929275,-0.6963150673878609,2.9865827443171358,532.4,1.7972736465902814,43,Critical
48419,Shelby,TX,1954,7797,0,25.06092086700013,0.0,2.277253115213164,-0.6963150673878609,2.9735681826010247,779.7,1.791937909560615,45,Critical
48159,Franklin,TX,1985,7922,0,25.056803837414794,0.0,2.2764937341822002,-0.6963150673878609,2.972808801570061,792.2,1.7916072809420367,46,Critical
02180,Nome,AK,5692,22804,0,24.960533239782496,0.0,2.258736741144832,-0.6963150673878609,2.955051808532693,2280.4,1.7958350851196156,44,Critical
48033,Borden,TX,1628,6531,0,24.927269943347113,0.0,2.2526013671289875,-0.6963150673878609,2.9489164345168484,653.1,1.775880860710109,51,Critical
48233,Hutchinson,TX,3501,14068,0,24.886266704577764,0.0,2.2450383702925305,-0.6963150673878609,2.9413534376803914,1406.8000000000002,1.7788800626082348,48,Critical
48161,Freestone,TX,4267,17175,0,24.84425036390102,0.0,2.2372885080583487,-0.6963150673878609,2.9336035754462095,1717.5,1.7773371452677256,50,Critical
13225,Peach,GA,2499,10081,0,24.78920741989882,0.0,2.227135904901812,-0.6963150673878609,2.9234509722896727,1008.1,1.7641515833738035,55,Critical
12131,Walton,FL,3516,14185,0,24.786746563271063,0.0,2.226682002930912,-0.6963150673878609,2.9229970703187726,1418.5,1.7679832421912633,54,Critical
